,full_date,day_of_week,day,month,year,hour,minute,product,machine,selling_price,cost_price,profit,inventory
0,2019-11-14 11:53:35+00:00,Thursday,14,11,2019,11,53,refill,A,0.0,130.0,-130.0,"{'coffee': 280, 'soda': 120, 'nrj': 60}"
1,2019-11-14 12:06:35+00:00,Thursday,14,11,2019,12,6,coffee,A,1.0,0.3,0.7,279
2,2019-11-14 12:07:59+00:00,Thursday,14,11,2019,12,7,soda,A,1.6,0.6,1.0,119
3,2019-11-14 12:13:45+00:00,Thursday,14,11,2019,12,13,soda,A,1.6,0.6,1.0,118
4,2019-11-14 12:22:35+00:00,Thursday,14,11,2019,12,22,coffee,A,1.0,0.3,0.7,278
5,2019-11-14 12:37:44+00:00,Thursday,14,11,2019,12,37,soda,A,1.6,0.6,1.0,117
7,2019-11-14 12:47:52+00:00,Thursday,14,11,2019,12,47,coffee,A,1.0,0.3,0.7,277
8,2019-11-14 12:51:00+00:00,Thursday,14,11,2019,12,51,coffee,A,1.0,0.3,0.7,276
9,2019-11-14 12:52:49+00:00,Thursday,14,11,2019,12,52,coffee,A,1.0,0.3,0.7,275
10,2019-11-14 12:55:16+00:00,Thursday,14,11,2019,12,55,coffee,A,1.0,0.3,0.7,274
11,2019-11-14 12:55:53+00:00,Thursday,14,11,2019,12,55,soda,A,1.6,0.6,1.0,116
12,2019-11-14 12:56:49+00:00,Thursday,14,11,2019,12,56,coffee,A,1.0,0.3,0.7,273
15,2019-11-14 13:11:34+00:00,Thursday,14,11,2019,13,11,coffee,A,1.0,0.3,0.7,272
17,2019-11-14 13:17:40+00:00,Thursday,14,11,2019,13,17,coffee,A,1.0,0.3,0.7,271
18,2019-11-14 13:25:54+00:00,Thursday,14,11,2019,13,25,coffee,A,1.0,0.3,0.7,270
19,2019-11-14 13:27:47+00:00,Thursday,14,11,2019,13,27,coffee,A,1.0,0.3,0.7,269
20,2019-11-14 13:38:02+00:00,Thursday,14,11,2019,13,38,soda,A,1.6,0.6,1.0,115
22,2019-11-14 13:48:50+00:00,Thursday,14,11,2019,13,48,coffee,A,1.0,0.3,0.7,268
28,2019-11-14 14:03:38+00:00,Thursday,14,11,2019,14,3,coffee,A,1.0,0.3,0.7,267
38,2019-11-14 14:36:01+00:00,Thursday,14,11,2019,14,36,coffee,A,1.0,0.3,0.7,266
40,2019-11-14 14:46:49+00:00,Thursday,14,11,2019,14,46,soda,A,1.6,0.6,1.0,114
44,2019-11-14 14:57:26+00:00,Thursday,14,11,2019,14,57,coffee,A,1.0,0.3,0.7,265
47,2019-11-14 15:05:46+00:00,Thursday,14,11,2019,15,5,coffee,A,1.0,0.3,0.7,264
49,2019-11-14 15:09:00+00:00,Thursday,14,11,2019,15,9,soda,A,1.6,0.6,1.0,113
55,2019-11-14 15:32:24+00:00,Thursday,14,11,2019,15,32,coffee,A,1.0,0.3,0.7,263
56,2019-11-14 15:33:16+00:00,Thursday,14,11,2019,15,33,coffee,A,1.0,0.3,0.7,262
60,2019-11-14 15:39:46+00:00,Thursday,14,11,2019,15,39,nrj,A,1.8,0.8,1.0,59
64,2019-11-14 15:54:55+00:00,Thursday,14,11,2019,15,54,coffee,A,1.0,0.3,0.7,261
67,2019-11-14 16:00:33+00:00,Thursday,14,11,2019,16,0,coffee,A,1.0,0.3,0.7,260
72,2019-11-14 16:08:17+00:00,Thursday,14,11,2019,16,8,coffee,A,1.0,0.3,0.7,259
77,2019-11-14 16:18:07+00:00,Thursday,14,11,2019,16,18,coffee,A,1.0,0.3,0.7,258
84,2019-11-14 16:55:43+00:00,Thursday,14,11,2019,16,55,soda,A,1.6,0.6,1.0,112
88,2019-11-14 17:03:04+00:00,Thursday,14,11,2019,17,3,nrj,A,1.8,0.8,1.0,58
96,2019-11-14 17:24:35+00:00,Thursday,14,11,2019,17,24,nrj,A,1.8,0.8,1.0,57
104,2019-11-14 17:58:02+00:00,Thursday,14,11,2019,17,58,soda,A,1.6,0.6,1.0,111
105,2019-11-14 18:01:35+00:00,Thursday,14,11,2019,18,1,soda,A,1.6,0.6,1.0,110
117,2019-11-14 18:38:40+00:00,Thursday,14,11,2019,18,38,soda,A,1.6,0.6,1.0,109
120,2019-11-14 18:48:01+00:00,Thursday,14,11,2019,18,48,soda,A,1.6,0.6,1.0,108
126,2019-11-14 19:04:52+00:00,Thursday,14,11,2019,19,4,soda,A,1.6,0.6,1.0,107
134,2019-11-14 20:14:07+00:00,Thursday,14,11,2019,20,14,soda,A,1.6,0.6,1.0,106
136,2019-11-14 20:29:59+00:00,Thursday,14,11,2019,20,29,soda,A,1.6,0.6,1.0,105
142,2019-11-14 21:07:11+00:00,Thursday,14,11,2019,21,7,soda,A,1.6,0.6,1.0,104
146,2019-11-14 21:27:53+00:00,Thursday,14,11,2019,21,27,soda,A,1.6,0.6,1.0,103
150,2019-11-14 21:49:36+00:00,Thursday,14,11,2019,21,49,nrj,A,1.8,0.8,1.0,56
158,2019-11-14 22:55:42+00:00,Thursday,14,11,2019,22,55,soda,A,1.6,0.6,1.0,102
159,2019-11-14 23:07:40+00:00,Thursday,14,11,2019,23,7,soda,A,1.6,0.6,1.0,101
160,2019-11-14 23:20:14+00:00,Thursday,14,11,2019,23,20,soda,A,1.6,0.6,1.0,100
163,2019-11-15 00:14:34+00:00,Friday,15,11,2019,0,14,coffee,A,1.0,0.3,0.7,257
169,2019-11-15 00:59:30+00:00,Friday,15,11,2019,0,59,nrj,A,1.8,0.8,1.0,55
171,2019-11-15 01:04:58+00:00,Friday,15,11,2019,1,4,nrj,A,1.8,0.8,1.0,54
182,2019-11-15 05:10:19+00:00,Friday,15,11,2019,5,10,coffee,A,1.0,0.3,0.7,256
188,2019-11-15 05:20:39+00:00,Friday,15,11,2019,5,20,coffee,A,1.0,0.3,0.7,255
189,2019-11-15 05:21:49+00:00,Friday,15,11,2019,5,21,coffee,A,1.0,0.3,0.7,254
198,2019-11-15 05:43:33+00:00,Friday,15,11,2019,5,43,coffee,A,1.0,0.3,0.7,253
199,2019-11-15 05:47:25+00:00,Friday,15,11,2019,5,47,coffee,A,1.0,0.3,0.7,252
201,2019-11-15 05:52:12+00:00,Friday,15,11,2019,5,52,coffee,A,1.0,0.3,0.7,251
203,2019-11-15 05:55:34+00:00,Friday,15,11,2019,5,55,coffee,A,1.0,0.3,0.7,250
206,2019-11-15 06:06:36+00:00,Friday,15,11,2019,6,6,coffee,A,1.0,0.3,0.7,249
210,2019-11-15 06:12:42+00:00,Friday,15,11,2019,6,12,coffee,A,1.0,0.3,0.7,248
217,2019-11-15 06:33:53+00:00,Friday,15,11,2019,6,33,coffee,A,1.0,0.3,0.7,247
220,2019-11-15 06:38:28+00:00,Friday,15,11,2019,6,38,coffee,A,1.0,0.3,0.7,246
223,2019-11-15 06:43:48+00:00,Friday,15,11,2019,6,43,soda,A,1.6,0.6,1.0,99
227,2019-11-15 06:48:35+00:00,Friday,15,11,2019,6,48,coffee,A,1.0,0.3,0.7,245
231,2019-11-15 06:58:02+00:00,Friday,15,11,2019,6,58,coffee,A,1.0,0.3,0.7,244
240,2019-11-15 07:11:04+00:00,Friday,15,11,2019,7,11,coffee,A,1.0,0.3,0.7,243
242,2019-11-15 07:11:08+00:00,Friday,15,11,2019,7,11,coffee,A,1.0,0.3,0.7,242
243,2019-11-15 07:12:09+00:00,Friday,15,11,2019,7,12,soda,A,1.6,0.6,1.0,98
244,2019-11-15 07:14:17+00:00,Friday,15,11,2019,7,14,coffee,A,1.0,0.3,0.7,241
245,2019-11-15 07:16:13+00:00,Friday,15,11,2019,7,16,coffee,A,1.0,0.3,0.7,240
249,2019-11-15 07:26:22+00:00,Friday,15,11,2019,7,26,coffee,A,1.0,0.3,0.7,239
271,2019-11-15 08:07:05+00:00,Friday,15,11,2019,8,7,coffee,A,1.0,0.3,0.7,238
274,2019-11-15 08:07:57+00:00,Friday,15,11,2019,8,7,coffee,A,1.0,0.3,0.7,237
275,2019-11-15 08:09:20+00:00,Friday,15,11,2019,8,9,coffee,A,1.0,0.3,0.7,236
278,2019-11-15 08:17:27+00:00,Friday,15,11,2019,8,17,coffee,A,1.0,0.3,0.7,235
280,2019-11-15 08:21:19+00:00,Friday,15,11,2019,8,21,coffee,A,1.0,0.3,0.7,234
282,2019-11-15 08:22:06+00:00,Friday,15,11,2019,8,22,soda,A,1.6,0.6,1.0,97
286,2019-11-15 08:29:14+00:00,Friday,15,11,2019,8,29,coffee,A,1.0,0.3,0.7,233
294,2019-11-15 08:39:04+00:00,Friday,15,11,2019,8,39,soda,A,1.6,0.6,1.0,96
304,2019-11-15 08:48:13+00:00,Friday,15,11,2019,8,48,coffee,A,1.0,0.3,0.7,232
307,2019-11-15 08:53:51+00:00,Friday,15,11,2019,8,53,soda,A,1.6,0.6,1.0,95
308,2019-11-15 08:54:38+00:00,Friday,15,11,2019,8,54,coffee,A,1.0,0.3,0.7,231
310,2019-11-15 09:01:59+00:00,Friday,15,11,2019,9,1,coffee,A,1.0,0.3,0.7,230
312,2019-11-15 09:04:06+00:00,Friday,15,11,2019,9,4,coffee,A,1.0,0.3,0.7,229
318,2019-11-15 09:13:35+00:00,Friday,15,11,2019,9,13,soda,A,1.6,0.6,1.0,94
321,2019-11-15 09:14:53+00:00,Friday,15,11,2019,9,14,soda,A,1.6,0.6,1.0,93
323,2019-11-15 09:16:32+00:00,Friday,15,11,2019,9,16,coffee,A,1.0,0.3,0.7,228
328,2019-11-15 09:22:18+00:00,Friday,15,11,2019,9,22,coffee,A,1.0,0.3,0.7,227
329,2019-11-15 09:22:20+00:00,Friday,15,11,2019,9,22,coffee,A,1.0,0.3,0.7,226
332,2019-11-15 09:23:25+00:00,Friday,15,11,2019,9,23,coffee,A,1.0,0.3,0.7,225
334,2019-11-15 09:24:15+00:00,Friday,15,11,2019,9,24,coffee,A,1.0,0.3,0.7,224
345,2019-11-15 09:44:08+00:00,Friday,15,11,2019,9,44,coffee,A,1.0,0.3,0.7,223
346,2019-11-15 09:45:38+00:00,Friday,15,11,2019,9,45,coffee,A,1.0,0.3,0.7,222
347,2019-11-15 09:47:44+00:00,Friday,15,11,2019,9,47,coffee,A,1.0,0.3,0.7,221
350,2019-11-15 09:48:51+00:00,Friday,15,11,2019,9,48,soda,A,1.6,0.6,1.0,92
351,2019-11-15 09:49:17+00:00,Friday,15,11,2019,9,49,coffee,A,1.0,0.3,0.7,220
358,2019-11-15 09:55:29+00:00,Friday,15,11,2019,9,55,coffee,A,1.0,0.3,0.7,219
362,2019-11-15 09:59:29+00:00,Friday,15,11,2019,9,59,coffee,A,1.0,0.3,0.7,218
378,2019-11-15 10:29:27+00:00,Friday,15,11,2019,10,29,coffee,A,1.0,0.3,0.7,217
380,2019-11-15 10:33:24+00:00,Friday,15,11,2019,10,33,coffee,A,1.0,0.3,0.7,216
383,2019-11-15 10:35:01+00:00,Friday,15,11,2019,10,35,coffee,A,1.0,0.3,0.7,215
384,2019-11-15 10:35:48+00:00,Friday,15,11,2019,10,35,soda,A,1.6,0.6,1.0,91
386,2019-11-15 10:38:01+00:00,Friday,15,11,2019,10,38,soda,A,1.6,0.6,1.0,90
398,2019-11-15 10:58:50+00:00,Friday,15,11,2019,10,58,soda,A,1.6,0.6,1.0,89
399,2019-11-15 10:59:45+00:00,Friday,15,11,2019,10,59,coffee,A,1.0,0.3,0.7,214
405,2019-11-15 11:07:57+00:00,Friday,15,11,2019,11,7,soda,A,1.6,0.6,1.0,88
406,2019-11-15 11:08:21+00:00,Friday,15,11,2019,11,8,coffee,A,1.0,0.3,0.7,213
407,2019-11-15 11:08:29+00:00,Friday,15,11,2019,11,8,soda,A,1.6,0.6,1.0,87
409,2019-11-15 11:11:01+00:00,Friday,15,11,2019,11,11,soda,A,1.6,0.6,1.0,86
411,2019-11-15 11:11:35+00:00,Friday,15,11,2019,11,11,coffee,A,1.0,0.3,0.7,212
427,2019-11-15 11:37:13+00:00,Friday,15,11,2019,11,37,coffee,A,1.0,0.3,0.7,211
428,2019-11-15 11:38:52+00:00,Friday,15,11,2019,11,38,coffee,A,1.0,0.3,0.7,210
431,2019-11-15 11:41:04+00:00,Friday,15,11,2019,11,41,coffee,A,1.0,0.3,0.7,209
442,2019-11-15 11:52:03+00:00,Friday,15,11,2019,11,52,coffee,A,1.0,0.3,0.7,208
451,2019-11-15 12:00:27+00:00,Friday,15,11,2019,12,0,coffee,A,1.0,0.3,0.7,207
455,2019-11-15 12:06:30+00:00,Friday,15,11,2019,12,6,coffee,A,1.0,0.3,0.7,206
459,2019-11-15 12:11:50+00:00,Friday,15,11,2019,12,11,soda,A,1.6,0.6,1.0,85
462,2019-11-15 12:17:04+00:00,Friday,15,11,2019,12,17,nrj,A,1.8,0.8,1.0,53
463,2019-11-15 12:17:41+00:00,Friday,15,11,2019,12,17,coffee,A,1.0,0.3,0.7,205
471,2019-11-15 12:29:23+00:00,Friday,15,11,2019,12,29,coffee,A,1.0,0.3,0.7,204
478,2019-11-15 12:38:13+00:00,Friday,15,11,2019,12,38,coffee,A,1.0,0.3,0.7,203
480,2019-11-15 12:41:02+00:00,Friday,15,11,2019,12,41,soda,A,1.6,0.6,1.0,84
