,full_date,day_of_week,day,month,year,hour,minute,product,machine,selling_price,cost_price,profit,inventory
6,2019-11-14 12:47:09+00:00,Thursday,14,11,2019,12,47,refill,B,0.0,130.0,-130.0,"{'coffee': 280, 'soda': 120, 'nrj': 60}"
13,2019-11-14 13:01:09+00:00,Thursday,14,11,2019,13,1,coffee,B,1.0,0.3,0.7,279
14,2019-11-14 13:03:46+00:00,Thursday,14,11,2019,13,3,coffee,B,1.0,0.3,0.7,278
16,2019-11-14 13:11:52+00:00,Thursday,14,11,2019,13,11,coffee,B,1.0,0.3,0.7,277
21,2019-11-14 13:44:06+00:00,Thursday,14,11,2019,13,44,coffee,B,1.0,0.3,0.7,276
23,2019-11-14 13:51:00+00:00,Thursday,14,11,2019,13,51,coffee,B,1.0,0.3,0.7,275
25,2019-11-14 14:00:15+00:00,Thursday,14,11,2019,14,0,coffee,B,1.0,0.3,0.7,274
29,2019-11-14 14:11:06+00:00,Thursday,14,11,2019,14,11,coffee,B,1.0,0.3,0.7,273
32,2019-11-14 14:20:13+00:00,Thursday,14,11,2019,14,20,coffee,B,1.0,0.3,0.7,272
33,2019-11-14 14:22:53+00:00,Thursday,14,11,2019,14,22,coffee,B,1.0,0.3,0.7,271
34,2019-11-14 14:27:39+00:00,Thursday,14,11,2019,14,27,coffee,B,1.0,0.3,0.7,270
42,2019-11-14 14:53:31+00:00,Thursday,14,11,2019,14,53,soda,B,1.6,0.6,1.0,119
50,2019-11-14 15:09:19+00:00,Thursday,14,11,2019,15,9,soda,B,1.6,0.6,1.0,118
52,2019-11-14 15:21:49+00:00,Thursday,14,11,2019,15,21,soda,B,1.6,0.6,1.0,117
57,2019-11-14 15:34:59+00:00,Thursday,14,11,2019,15,34,coffee,B,1.0,0.3,0.7,269
58,2019-11-14 15:35:29+00:00,Thursday,14,11,2019,15,35,coffee,B,1.0,0.3,0.7,268
61,2019-11-14 15:41:54+00:00,Thursday,14,11,2019,15,41,coffee,B,1.0,0.3,0.7,267
78,2019-11-14 16:23:06+00:00,Thursday,14,11,2019,16,23,coffee,B,1.0,0.3,0.7,266
