,full_date,day_of_week,day,month,year,hour,minute,product,machine,selling_price,cost_price,profit,inventory
24,2019-11-14 13:51:23+00:00,Thursday,14,11,2019,13,51,refill,C,0.0,130.0,-130.0,"{'coffee': 280, 'soda': 120, 'nrj': 60}"
26,2019-11-14 14:00:23+00:00,Thursday,14,11,2019,14,0,coffee,C,1.0,0.3,0.7,279
27,2019-11-14 14:03:36+00:00,Thursday,14,11,2019,14,3,coffee,C,1.0,0.3,0.7,278
30,2019-11-14 14:13:08+00:00,Thursday,14,11,2019,14,13,coffee,C,1.0,0.3,0.7,277
31,2019-11-14 14:15:43+00:00,Thursday,14,11,2019,14,15,soda,C,1.6,0.6,1.0,119
35,2019-11-14 14:29:10+00:00,Thursday,14,11,2019,14,29,nrj,C,1.8,0.8,1.0,59
36,2019-11-14 14:31:49+00:00,Thursday,14,11,2019,14,31,coffee,C,1.0,0.3,0.7,276
37,2019-11-14 14:32:18+00:00,Thursday,14,11,2019,14,32,coffee,C,1.0,0.3,0.7,275
39,2019-11-14 14:40:49+00:00,Thursday,14,11,2019,14,40,soda,C,1.6,0.6,1.0,118
41,2019-11-14 14:50:17+00:00,Thursday,14,11,2019,14,50,coffee,C,1.0,0.3,0.7,274
45,2019-11-14 14:57:59+00:00,Thursday,14,11,2019,14,57,coffee,C,1.0,0.3,0.7,273
46,2019-11-14 15:04:55+00:00,Thursday,14,11,2019,15,4,coffee,C,1.0,0.3,0.7,272
53,2019-11-14 15:22:02+00:00,Thursday,14,11,2019,15,22,coffee,C,1.0,0.3,0.7,271
54,2019-11-14 15:32:10+00:00,Thursday,14,11,2019,15,32,coffee,C,1.0,0.3,0.7,270
59,2019-11-14 15:35:49+00:00,Thursday,14,11,2019,15,35,soda,C,1.6,0.6,1.0,117
62,2019-11-14 15:43:43+00:00,Thursday,14,11,2019,15,43,coffee,C,1.0,0.3,0.7,269
63,2019-11-14 15:45:38+00:00,Thursday,14,11,2019,15,45,coffee,C,1.0,0.3,0.7,268
65,2019-11-14 15:56:22+00:00,Thursday,14,11,2019,15,56,coffee,C,1.0,0.3,0.7,267
70,2019-11-14 16:02:22+00:00,Thursday,14,11,2019,16,2,soda,C,1.6,0.6,1.0,116
