,full_date,day_of_week,day,month,year,hour,minute,product,machine,selling_price,cost_price,profit,inventory
43,2019-11-14 14:54:30+00:00,Thursday,14,11,2019,14,54,refill,D,0.0,130.0,-130.0,"{'coffee': 280, 'soda': 120, 'nrj': 60}"
48,2019-11-14 15:06:30+00:00,Thursday,14,11,2019,15,6,coffee,D,1.0,0.3,0.7,279
51,2019-11-14 15:19:49+00:00,Thursday,14,11,2019,15,19,soda,D,1.6,0.6,1.0,119
66,2019-11-14 15:59:54+00:00,Thursday,14,11,2019,15,59,coffee,D,1.0,0.3,0.7,278
68,2019-11-14 16:00:39+00:00,Thursday,14,11,2019,16,0,soda,D,1.6,0.6,1.0,118
69,2019-11-14 16:02:19+00:00,Thursday,14,11,2019,16,2,coffee,D,1.0,0.3,0.7,277
71,2019-11-14 16:03:59+00:00,Thursday,14,11,2019,16,3,coffee,D,1.0,0.3,0.7,276
75,2019-11-14 16:12:24+00:00,Thursday,14,11,2019,16,12,nrj,D,1.8,0.8,1.0,59
76,2019-11-14 16:17:14+00:00,Thursday,14,11,2019,16,17,soda,D,1.6,0.6,1.0,117
80,2019-11-14 16:36:53+00:00,Thursday,14,11,2019,16,36,coffee,D,1.0,0.3,0.7,275
83,2019-11-14 16:43:28+00:00,Thursday,14,11,2019,16,43,coffee,D,1.0,0.3,0.7,274
91,2019-11-14 17:12:44+00:00,Thursday,14,11,2019,17,12,nrj,D,1.8,0.8,1.0,58
92,2019-11-14 17:13:03+00:00,Thursday,14,11,2019,17,13,soda,D,1.6,0.6,1.0,116
93,2019-11-14 17:19:38+00:00,Thursday,14,11,2019,17,19,coffee,D,1.0,0.3,0.7,273
94,2019-11-14 17:21:02+00:00,Thursday,14,11,2019,17,21,coffee,D,1.0,0.3,0.7,272
99,2019-11-14 17:35:20+00:00,Thursday,14,11,2019,17,35,soda,D,1.6,0.6,1.0,115
102,2019-11-14 17:45:42+00:00,Thursday,14,11,2019,17,45,coffee,D,1.0,0.3,0.7,271
106,2019-11-14 18:02:44+00:00,Thursday,14,11,2019,18,2,soda,D,1.6,0.6,1.0,114
107,2019-11-14 18:04:54+00:00,Thursday,14,11,2019,18,4,coffee,D,1.0,0.3,0.7,270
109,2019-11-14 18:12:56+00:00,Thursday,14,11,2019,18,12,soda,D,1.6,0.6,1.0,113
110,2019-11-14 18:15:04+00:00,Thursday,14,11,2019,18,15,soda,D,1.6,0.6,1.0,112
114,2019-11-14 18:25:19+00:00,Thursday,14,11,2019,18,25,coffee,D,1.0,0.3,0.7,269
123,2019-11-14 19:02:43+00:00,Thursday,14,11,2019,19,2,coffee,D,1.0,0.3,0.7,268
124,2019-11-14 19:04:03+00:00,Thursday,14,11,2019,19,4,soda,D,1.6,0.6,1.0,111
128,2019-11-14 19:30:22+00:00,Thursday,14,11,2019,19,30,nrj,D,1.8,0.8,1.0,57
129,2019-11-14 19:31:46+00:00,Thursday,14,11,2019,19,31,soda,D,1.6,0.6,1.0,110
130,2019-11-14 19:36:38+00:00,Thursday,14,11,2019,19,36,soda,D,1.6,0.6,1.0,109
143,2019-11-14 21:07:51+00:00,Thursday,14,11,2019,21,7,soda,D,1.6,0.6,1.0,108
145,2019-11-14 21:20:54+00:00,Thursday,14,11,2019,21,20,soda,D,1.6,0.6,1.0,107
151,2019-11-14 21:53:01+00:00,Thursday,14,11,2019,21,53,soda,D,1.6,0.6,1.0,106
155,2019-11-14 22:43:45+00:00,Thursday,14,11,2019,22,43,soda,D,1.6,0.6,1.0,105
161,2019-11-15 00:06:21+00:00,Friday,15,11,2019,0,6,coffee,D,1.0,0.3,0.7,267
164,2019-11-15 00:23:36+00:00,Friday,15,11,2019,0,23,coffee,D,1.0,0.3,0.7,266
168,2019-11-15 00:37:19+00:00,Friday,15,11,2019,0,37,nrj,D,1.8,0.8,1.0,56
170,2019-11-15 01:04:57+00:00,Friday,15,11,2019,1,4,coffee,D,1.0,0.3,0.7,265
173,2019-11-15 01:08:14+00:00,Friday,15,11,2019,1,8,coffee,D,1.0,0.3,0.7,264
176,2019-11-15 01:29:12+00:00,Friday,15,11,2019,1,29,nrj,D,1.8,0.8,1.0,55
178,2019-11-15 01:41:34+00:00,Friday,15,11,2019,1,41,soda,D,1.6,0.6,1.0,104
180,2019-11-15 05:08:12+00:00,Friday,15,11,2019,5,8,soda,D,1.6,0.6,1.0,103
184,2019-11-15 05:15:09+00:00,Friday,15,11,2019,5,15,soda,D,1.6,0.6,1.0,102
186,2019-11-15 05:17:42+00:00,Friday,15,11,2019,5,17,coffee,D,1.0,0.3,0.7,263
194,2019-11-15 05:27:41+00:00,Friday,15,11,2019,5,27,coffee,D,1.0,0.3,0.7,262
196,2019-11-15 05:39:28+00:00,Friday,15,11,2019,5,39,coffee,D,1.0,0.3,0.7,261
202,2019-11-15 05:53:50+00:00,Friday,15,11,2019,5,53,coffee,D,1.0,0.3,0.7,260
205,2019-11-15 06:05:38+00:00,Friday,15,11,2019,6,5,coffee,D,1.0,0.3,0.7,259
208,2019-11-15 06:10:00+00:00,Friday,15,11,2019,6,10,coffee,D,1.0,0.3,0.7,258
209,2019-11-15 06:12:24+00:00,Friday,15,11,2019,6,12,coffee,D,1.0,0.3,0.7,257
